n_nodes,ER,size,graph_type,random,method,sem_type,prior_type,proportion,confidence,error_prior_proportion,error_prior_type,alg,adaptive_degree,fdr,tpr,fpr,precision,recall,f1,extra,missing,reverse,shd,nnz,numerical_SHD_noextra,numerical_SHD,time,lambda1,lambda2,sigma,finished
40,2,2,ER,2,nonlinear,mim,exist,0.3,0.9,0.2,reverse_direct,notears_mlp_prior,1,0.0641,0.9125,0.0071,0.9359,0.9125,0.9241,5,7,0,12,78,107.1414,129.4162,55.5674,0.0125,0.0125,1.0,2024-10-10 16:08:18.583680
40,2,2,ER,2,nonlinear,mim,exist,0.3,0.9,0.2,reverse_direct,ECA_mlp_prior,1,0.0641,0.9125,0.0071,0.9359,0.9125,0.9241,5,7,0,12,78,107.1326,129.2827,48.5381,0.0125,0.0125,1.0,2024-10-10 16:23:44.847608
40,2,2,ER,2,nonlinear,mim,exist,0.3,0.9,0.2,reverse_direct,ECA_prior,1,0.0833,0.275,0.0029,0.9167,0.275,0.4231,1,57,1,59,24,98.8057,99.622,15.0176,0.0125,0.0125,1.0,2024-10-10 16:25:51.205534
40,2,2,ER,2,nonlinear,mim,exist,0.3,0.9,0.2,reverse_direct,ECA_prior,1,0.0833,0.275,0.0029,0.9167,0.275,0.4231,1,57,1,59,24,98.8057,99.622,15.0714,0.0125,0.0125,1.0,2024-10-10 16:36:40.710412
40,2,2,ER,2,nonlinear,mim,exist,0.3,0.9,0.2,reverse_direct,ECA_mlp_prior,1,0.0641,0.9125,0.0071,0.9359,0.9125,0.9241,5,7,0,12,78,107.1489,129.4269,51.7549,0.0125,0.0125,1.0,2024-10-10 16:39:44.917356
